fichier,n chiffres,nb de sequences
1 million de pi.txt,1,10
carree_1M.txt,1,10
1 million de pi.txt,2,100
carree_1M.txt,2,100
1 million de pi.txt,3,1000
carree_1M.txt,3,1000
1 million de pi.txt,4,10000
carree_1M.txt,4,10000
1 million de pi.txt,5,99992
carree_1M.txt,5,99995
1 million de pi.txt,6,631548
carree_1M.txt,6,632683
1 million de pi.txt,7,951285
carree_1M.txt,7,952245
1 million de pi.txt,8,994979
carree_1M.txt,8,995280
1 million de pi.txt,9,999473
carree_1M.txt,9,999563
1 million de pi.txt,10,999946
carree_1M.txt,10,999939
1 million de pi.txt,11,999984
carree_1M.txt,11,999984
1 million de pi.txt,12,999989
carree_1M.txt,12,999989
1 million de pi.txt,13,999989
carree_1M.txt,13,999988
1 million de pi.txt,14,999988
carree_1M.txt,14,999987
1 million de pi.txt,15,999987
carree_1M.txt,15,999986
1 million de pi.txt,16,999986
carree_1M.txt,16,999985
1 million de pi.txt,17,999985
carree_1M.txt,17,999984
1 million de pi.txt,18,999984
carree_1M.txt,18,999983
1 million de pi.txt,19,999983
carree_1M.txt,19,999982
1 million de pi.txt,20,999982
carree_1M.txt,20,999981
1 million de pi.txt,21,999981
carree_1M.txt,21,999980
1 million de pi.txt,22,999980
carree_1M.txt,22,999979
1 million de pi.txt,23,999979
carree_1M.txt,23,999978
1 million de pi.txt,24,999978
carree_1M.txt,24,999977
1 million de pi.txt,25,999977
carree_1M.txt,25,999976
1 million de pi.txt,26,999976
carree_1M.txt,26,999975
1 million de pi.txt,27,999975
carree_1M.txt,27,999974
1 million de pi.txt,28,999974
carree_1M.txt,28,999973
1 million de pi.txt,29,999973
carree_1M.txt,29,999972
1 million de pi.txt,30,999972
carree_1M.txt,30,999971
1 million de pi.txt,31,999971
carree_1M.txt,31,999970
1 million de pi.txt,32,999970
carree_1M.txt,32,999969
1 million de pi.txt,33,999969
carree_1M.txt,33,999968
1 million de pi.txt,34,999968
carree_1M.txt,34,999967
1 million de pi.txt,35,999967
carree_1M.txt,35,999966
1 million de pi.txt,36,999966
carree_1M.txt,36,999965
1 million de pi.txt,37,999965
carree_1M.txt,37,999964
1 million de pi.txt,38,999964
carree_1M.txt,38,999963
1 million de pi.txt,39,999963
carree_1M.txt,39,999962
1 million de pi.txt,40,999962
carree_1M.txt,40,999961
1 million de pi.txt,41,999961
carree_1M.txt,41,999960
1 million de pi.txt,42,999960
carree_1M.txt,42,999959
1 million de pi.txt,43,999959
carree_1M.txt,43,999958
1 million de pi.txt,44,999958
carree_1M.txt,44,999957
1 million de pi.txt,45,999957
carree_1M.txt,45,999956
1 million de pi.txt,46,999956
carree_1M.txt,46,999955
1 million de pi.txt,47,999955
carree_1M.txt,47,999954
1 million de pi.txt,48,999954
carree_1M.txt,48,999953
1 million de pi.txt,49,999953
carree_1M.txt,49,999952
1 million de pi.txt,50,999952
carree_1M.txt,50,999951
1 million de pi.txt,51,999951
carree_1M.txt,51,999950
1 million de pi.txt,52,999950
carree_1M.txt,52,999949
1 million de pi.txt,53,999949
carree_1M.txt,53,999948
1 million de pi.txt,54,999948
carree_1M.txt,54,999947
1 million de pi.txt,55,999947
carree_1M.txt,55,999946
1 million de pi.txt,56,999946
carree_1M.txt,56,999945
1 million de pi.txt,57,999945
carree_1M.txt,57,999944
1 million de pi.txt,58,999944
carree_1M.txt,58,999943
1 million de pi.txt,59,999943
carree_1M.txt,59,999942
1 million de pi.txt,60,999942
carree_1M.txt,60,999941
1 million de pi.txt,61,999941
carree_1M.txt,61,999940
1 million de pi.txt,62,999940
carree_1M.txt,62,999939
1 million de pi.txt,63,999939
carree_1M.txt,63,999938
1 million de pi.txt,64,999938
carree_1M.txt,64,999937
1 million de pi.txt,65,999937
carree_1M.txt,65,999936
1 million de pi.txt,66,999936
carree_1M.txt,66,999935
1 million de pi.txt,67,999935
carree_1M.txt,67,999934
1 million de pi.txt,68,999934
carree_1M.txt,68,999933
1 million de pi.txt,69,999933
carree_1M.txt,69,999932
1 million de pi.txt,70,999932
carree_1M.txt,70,999931
1 million de pi.txt,71,999931
carree_1M.txt,71,999930
1 million de pi.txt,72,999930
carree_1M.txt,72,999929
1 million de pi.txt,73,999929
carree_1M.txt,73,999928
1 million de pi.txt,74,999928
carree_1M.txt,74,999927
1 million de pi.txt,75,999927
carree_1M.txt,75,999926
1 million de pi.txt,76,999926
carree_1M.txt,76,999925
1 million de pi.txt,77,999925
carree_1M.txt,77,999924
1 million de pi.txt,78,999924
carree_1M.txt,78,999923
1 million de pi.txt,79,999923
carree_1M.txt,79,999922
1 million de pi.txt,80,999922
carree_1M.txt,80,999921
1 million de pi.txt,81,999921
carree_1M.txt,81,999920
1 million de pi.txt,82,999920
carree_1M.txt,82,999919
1 million de pi.txt,83,999919
carree_1M.txt,83,999918
1 million de pi.txt,84,999918
carree_1M.txt,84,999917
1 million de pi.txt,85,999917
carree_1M.txt,85,999916
1 million de pi.txt,86,999916
carree_1M.txt,86,999915
1 million de pi.txt,87,999915
carree_1M.txt,87,999914
1 million de pi.txt,88,999914
carree_1M.txt,88,999913
1 million de pi.txt,89,999913
carree_1M.txt,89,999912
1 million de pi.txt,90,999912
carree_1M.txt,90,999911
1 million de pi.txt,91,999911
carree_1M.txt,91,999910
1 million de pi.txt,92,999910
carree_1M.txt,92,999909
1 million de pi.txt,93,999909
carree_1M.txt,93,999908
1 million de pi.txt,94,999908
carree_1M.txt,94,999907
1 million de pi.txt,95,999907
carree_1M.txt,95,999906
1 million de pi.txt,96,999906
carree_1M.txt,96,999905
1 million de pi.txt,97,999905
carree_1M.txt,97,999904
1 million de pi.txt,98,999904
carree_1M.txt,98,999903
1 million de pi.txt,99,999903
carree_1M.txt,99,999902
1 million de pi.txt,100,999902
carree_1M.txt,100,999901
1 million de pi.txt,101,999901
carree_1M.txt,101,999900
1 million de pi.txt,102,999900
carree_1M.txt,102,999899
1 million de pi.txt,103,999899
carree_1M.txt,103,999898
1 million de pi.txt,104,999898
carree_1M.txt,104,999897
1 million de pi.txt,105,999897
carree_1M.txt,105,999896
1 million de pi.txt,106,999896
carree_1M.txt,106,999895
1 million de pi.txt,107,999895
